NUK_K

 ======== test get_l2 ========= 

2026-02-10 16:16:13,605; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/NUK_K.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:16:13,666; DEBUG; pypromice.pipeline.aws; Source information: {'pypromice': '1.5.1', 'l0_config_file': 'NUK_K.toml:4bdadcfd32851bd1d43433658ee1f333a340ed01', 'l0_data_root': '4bdadcfd32851bd1d43433658ee1f333a340ed01', 'data_issues': 'a469096a07c8232cfb9c3d702402eeec79075bfb'}
2026-02-10 16:16:13,687; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NUK_K_300234061299270_1.txt
2026-02-10 16:16:13,738; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_K_300234061299270_1.txt
2026-02-10 16:16:13,748; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NUK_K_300234061299270_2.txt
2026-02-10 16:16:13,801; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_K_300234061299270_2.txt
2026-02-10 16:16:13,803; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NUK_K_300534062923450_3.txt
2026-02-10 16:16:13,904; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_K_300534062923450_3.txt
2026-02-10 16:16:13,923; INFO; pypromice.pipeline.aws; Level 1 processing...
2026-02-10 16:16:15,577; INFO; pypromice.pipeline.aws; Level 2 processing...
2026-02-10 16:16:16,392; DEBUG; pypromice.core.qc.persistence; Running persistence_qc using {'t_i': {'max_diff': 0.0001, 'period': 2}, 't_u': {'max_diff': 0.0001, 'period': 2}, 't_l': {'max_diff': 0.0001, 'period': 2}, 'p_i': {'max_diff': 0.0001, 'period': 3}, 'p_u': {'max_diff': 0.0001, 'period': 150}, 'p_l': {'max_diff': 0.0001, 'period': 150}, 'gps_lat_lon': {'max_diff': 1e-06, 'period': 6}, 'gps_alt': {'max_diff': 0.0001, 'period': 6}, 't_rad': {'max_diff': 0.0001, 'period': 2}, 'rh_i': {'max_diff': 0.0001, 'period': 2}, 'rh_u': {'max_diff': 0.0001, 'period': 2}, 'rh_l': {'max_diff': 0.0001, 'period': 2}, 'wspd_i': {'max_diff': 0.0001, 'period': 6}, 'wspd_u': {'max_diff': 0.0001, 'period': 6}, 'wspd_l': {'max_diff': 0.0001, 'period': 6}}
2026-02-10 16:16:16,909; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_u (tol=1.0, factor=2.0): filtering 5/25598
